CrashDate,CrashTime,Borough,Cause,Count,Code
2/14/2020,17:59,BROOKLYN,Unspecified,1,A337
2/14/2020,16:25,BROOKLYN,Unsafe Lane Changing,1,A338
2/14/2020,16:30,Unspecified,Unsafe Speed,1,A339
2/14/2020,20:24,BROOKLYN,Following Too Closely,1,A340
2/14/2020,13:22,BROOKLYN,Unspecified,1,A341
2/14/2020,17:47,QUEENS,Unspecified,1,A342
2/14/2020,1:00,BROOKLYN,Unsafe Speed,1,A343
2/14/2020,9:15,MANHATTAN,Driver Inattention/Distraction,1,A344
2/14/2020,13:00,BRONX,Passing Too Closely,1,A345
2/14/2020,21:47,BROOKLYN,Turning Improperly,1,A346
2/14/2020,14:00,Unspecified,Passing Too Closely,1,A347
2/14/2020,11:23,Unspecified,Obstruction/Debris,1,A348
2/14/2020,18:45,QUEENS,Driver Inattention/Distraction,1,A349
2/14/2020,0:11,MANHATTAN,Unspecified,1,A350
2/14/2020,12:46,QUEENS,Driver Inattention/Distraction,1,A351
2/14/2020,11:33,BRONX,Unspecified,1,A352
2/14/2020,11:00,MANHATTAN,Following Too Closely,1,A353
2/14/2020,21:00,STATEN ISLAND,Driver Inattention/Distraction,1,A354
2/14/2020,12:35,QUEENS,Following Too Closely,1,A355
2/14/2020,9:30,BROOKLYN,Failure to Yield Right-of-Way,1,A356
2/14/2020,17:20,QUEENS,Failure to Yield Right-of-Way,1,A357
2/14/2020,14:09,Unspecified,Illnes,1,A358
2/14/2020,20:35,MANHATTAN,Driver Inattention/Distraction,1,A359
2/14/2020,15:50,QUEENS,Unsafe Speed,1,A360
2/14/2020,14:39,BROOKLYN,Unspecified,1,A361
2/14/2020,10:03,BRONX,Unspecified,1,A362
2/14/2020,15:10,QUEENS,Unsafe Lane Changing,1,A363
2/14/2020,17:15,BROOKLYN,Driver Inattention/Distraction,1,A364
2/14/2020,9:00,BROOKLYN,Driver Inattention/Distraction,1,A365
2/14/2020,21:56,BROOKLYN,Backing Unsafely,1,A366
2/14/2020,15:00,QUEENS,Driver Inattention/Distraction,1,A367
2/14/2020,18:15,Unspecified,Fell Asleep,1,A368
2/14/2020,19:40,Unspecified,Passing or Lane Usage Improper,1,A369
2/14/2020,14:30,Unspecified,Driver Inattention/Distraction,1,A370
2/14/2020,21:28,Unspecified,Driver Inexperience,1,A371
2/14/2020,16:16,BROOKLYN,Driver Inattention/Distraction,1,A372
2/14/2020,22:56,BRONX,Driver Inattention/Distraction,1,A373
2/14/2020,15:45,MANHATTAN,Driver Inattention/Distraction,1,A374
2/14/2020,2:24,Unspecified,Alcohol Involvement,1,A375
