CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
1/13/2020,19:00,,Unsafe Lane Changing,1
1/13/2020,18:06,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,0:00,,Passing Too Closely,1
1/13/2020,13:00,BROOKLYN,Driver Inexperience,1
1/13/2020,18:00,BROOKLYN,Passing Too Closely,1
1/13/2020,10:30,BROOKLYN,Failure to Yield Right-of-Way,1
1/13/2020,10:00,,Turning Improperly,1
1/13/2020,18:32,,Unspecified,1
1/13/2020,13:15,QUEENS,Unspecified,1
1/13/2020,17:06,,Following Too Closely,1
1/13/2020,8:40,QUEENS,Passing Too Closely,1
1/13/2020,7:30,QUEENS,Unsafe Speed,1
1/13/2020,14:24,QUEENS,Unspecified,1
1/13/2020,11:15,MANHATTAN,Unspecified,1
1/13/2020,15:00,QUEENS,Backing Unsafely,1
1/13/2020,12:13,BRONX,Unspecified,1
1/13/2020,12:15,,Unspecified,1
1/13/2020,13:55,,Backing Unsafely,1
1/13/2020,15:48,QUEENS,Passing Too Closely,1
1/13/2020,23:31,,Unspecified,1
1/13/2020,13:02,BROOKLYN,Unspecified,1
1/13/2020,16:40,,Reaction to Uninvolved Vehicle,1
1/13/2020,10:44,MANHATTAN,Unsafe Lane Changing,1
1/13/2020,19:22,STATEN ISLAND,Failure to Yield Right-of-Way,1
1/13/2020,20:40,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,17:52,QUEENS,Following Too Closely,1
1/13/2020,9:52,QUEENS,Driver Inattention/Distraction,1
1/13/2020,6:31,,Driver Inattention/Distraction,1
1/13/2020,13:28,,Driver Inattention/Distraction,1
1/13/2020,18:20,QUEENS,Driver Inattention/Distraction,1
1/13/2020,17:43,BRONX,Unspecified,1
1/13/2020,9:15,MANHATTAN,Passing or Lane Usage Improper,1
1/13/2020,20:14,,Failure to Yield Right-of-Way,1
1/13/2020,15:14,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,7:50,QUEENS,Driver Inattention/Distraction,1
1/13/2020,18:45,MANHATTAN,Unspecified,1
1/13/2020,8:30,BRONX,Unspecified,1
1/13/2020,6:25,QUEENS,Driver Inattention/Distraction,1
1/13/2020,20:00,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,10:55,QUEENS,Passing or Lane Usage Improper,1
1/13/2020,0:35,,Unsafe Speed,1
1/13/2020,13:20,QUEENS,Driver Inattention/Distraction,1
1/13/2020,19:30,BRONX,Unspecified,1
1/13/2020,22:46,BRONX,Driver Inattention/Distraction,1
1/13/2020,17:00,,Passing Too Closely,1
1/13/2020,8:45,,Following Too Closely,1
1/13/2020,12:45,,Turning Improperly,1
1/13/2020,11:50,QUEENS,Backing Unsafely,1
1/13/2020,15:00,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,21:32,,Driver Inattention/Distraction,1
1/13/2020,15:40,QUEENS,Unspecified,1
1/13/2020,20:22,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,16:31,MANHATTAN,Driver Inattention/Distraction,1
1/13/2020,14:30,STATEN ISLAND,Alcohol Involvement,1
1/13/2020,6:50,BROOKLYN,Backing Unsafely,1
1/13/2020,11:25,MANHATTAN,Driver Inattention/Distraction,1
1/13/2020,7:30,BROOKLYN,Unspecified,1
1/13/2020,22:00,,Driver Inattention/Distraction,1
1/13/2020,11:40,QUEENS,Driver Inattention/Distraction,1
1/13/2020,8:30,BROOKLYN,Unspecified,1
1/13/2020,22:21,MANHATTAN,Unspecified,1
1/13/2020,1:15,QUEENS,Unspecified,1
1/13/2020,16:55,BROOKLYN,Following Too Closely,1
1/13/2020,12:05,BROOKLYN,Unspecified,1
