CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
12/24/2019,4:00,MANHATTAN,Unspecified,1
12/24/2019,16:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,12:30,BRONX,Driver Inattention/Distraction,1
12/24/2019,12:55,,Driver Inattention/Distraction,1
12/24/2019,13:45,,Driver Inattention/Distraction,1
12/24/2019,21:31,,Unspecified,1
12/24/2019,17:05,MANHATTAN,Unspecified,1
12/24/2019,12:32,BROOKLYN,Unspecified,1
12/24/2019,18:50,BROOKLYN,Unspecified,1
12/24/2019,13:00,BRONX,Driver Inattention/Distraction,1
12/24/2019,22:20,,Passing or Lane Usage Improper,1
12/24/2019,9:42,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,6:20,QUEENS,Driver Inattention/Distraction,1
12/24/2019,15:30,,Following Too Closely,1
12/24/2019,19:35,,Following Too Closely,1
12/24/2019,20:29,,Unspecified,1
12/24/2019,9:20,BROOKLYN,Following Too Closely,1
12/24/2019,8:10,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,21:04,,Driver Inattention/Distraction,1
12/24/2019,16:00,,Driver Inattention/Distraction,1
12/24/2019,8:08,BRONX,Unspecified,1
12/24/2019,12:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,9:00,BROOKLYN,View Obstructed/Limited,1
12/24/2019,8:40,QUEENS,Driver Inattention/Distraction,1
12/24/2019,20:12,,Following Too Closely,1
12/24/2019,17:40,,Following Too Closely,1
12/24/2019,15:13,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,13:20,BRONX,Unspecified,1
12/24/2019,10:05,BRONX,Unspecified,1
12/24/2019,10:15,,Backing Unsafely,1
12/24/2019,18:15,,Failure to Yield Right-of-Way,1
12/24/2019,23:59,QUEENS,Tire Failure/Inadequate,1
12/24/2019,17:45,,Unspecified,1
12/24/2019,13:30,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,21:44,,Failure to Yield Right-of-Way,1
12/24/2019,6:18,BRONX,Failure to Yield Right-of-Way,1
12/24/2019,13:50,,Passing Too Closely,1
12/24/2019,16:51,BROOKLYN,Unspecified,1
12/24/2019,14:32,BROOKLYN,Backing Unsafely,1
12/24/2019,4:30,,Failure to Yield Right-of-Way,1
12/24/2019,18:20,BROOKLYN,Unspecified,1
12/24/2019,16:40,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,14:10,QUEENS,Driver Inattention/Distraction,1
12/24/2019,19:20,,Unspecified,1
12/24/2019,17:27,BROOKLYN,,1
12/24/2019,22:30,MANHATTAN,Following Too Closely,1
12/24/2019,11:10,QUEENS,Driver Inattention/Distraction,1
12/24/2019,10:35,,Following Too Closely,1
12/24/2019,20:57,BRONX,Other Vehicular,1
12/24/2019,7:11,BROOKLYN,Unspecified,1
12/24/2019,10:55,,Unspecified,1
12/24/2019,14:50,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,14:40,BRONX,Other Vehicular,1
12/24/2019,18:45,BROOKLYN,Failure to Yield Right-of-Way,1
12/24/2019,8:30,,Driver Inattention/Distraction,1
12/24/2019,16:50,,Driver Inattention/Distraction,1
12/24/2019,11:38,BROOKLYN,Unspecified,1
12/24/2019,16:22,,Driver Inattention/Distraction,1
12/24/2019,9:05,BROOKLYN,Passing Too Closely,1
12/24/2019,15:00,,Driver Inattention/Distraction,1
12/24/2019,3:00,,Passing Too Closely,1
12/24/2019,10:20,,Unspecified,1
12/24/2019,17:33,BROOKLYN,Failure to Yield Right-of-Way,1
12/24/2019,17:50,QUEENS,Unspecified,1
12/24/2019,5:58,MANHATTAN,Driver Inexperience,1
12/24/2019,17:00,,Driver Inattention/Distraction,1
12/24/2019,5:10,BROOKLYN,Other Vehicular,1
12/24/2019,16:50,MANHATTAN,Passing or Lane Usage Improper,1
12/24/2019,13:00,,Failure to Yield Right-of-Way,1
12/24/2019,13:30,QUEENS,Unspecified,1
12/24/2019,10:40,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,7:50,,Backing Unsafely,1
12/24/2019,14:15,,Driver Inattention/Distraction,1
12/24/2019,18:56,,Unsafe Lane Changing,1
12/24/2019,14:06,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,12:20,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,18:39,QUEENS,Driver Inattention/Distraction,1
12/24/2019,20:50,BRONX,Failure to Yield Right-of-Way,1
12/24/2019,14:55,QUEENS,Backing Unsafely,1
12/24/2019,11:39,BRONX,Driver Inattention/Distraction,1
12/24/2019,17:10,BROOKLYN,Passing Too Closely,1
12/24/2019,10:30,MANHATTAN,Unspecified,1
12/24/2019,11:15,,Aggressive Driving/Road Rage,1
